"상품 이름","카테고리","가격","링크"
"네잎 클로버 뱃지 브로치 금색 은색 유니크한 모양 포인트 장식용 악세사리, 6개, 실버","핀뱃지","9,990원","https://www.coupang.com/vp/products/9408114073?itemId=27951642261&vendorItemId=94909836093&q=%ED%95%80%EB%B1%83%EC%A7%80&searchId=d201159f3377275&sourceType=search&itemsCount=60&searchRank=27&rank=27"
"패션 가방 브로치 캐릭터 뱃지 빼찌","핀뱃지","500원","https://www.coupang.com/vp/products/7149986146?itemId=17973538553&vendorItemId=85130643981&q=%ED%95%80%EB%B1%83%EC%A7%80&searchId=d201159f3377275&sourceType=search&itemsCount=60&searchRank=28&rank=28"
"GOLLABABA 캠핑 핀버튼 뱃지 감성캠핑 여행 소품","핀뱃지","790원","https://www.coupang.com/vp/products/5091749085?itemId=6923904264&vendorItemId=74216464971&q=%ED%95%80%EB%B1%83%EC%A7%80&searchId=d201159f3377275&sourceType=search&itemsCount=60&searchRank=29&rank=29"
"재미있는 소셜배터리 귀여운 가방 핀뱃지 핀배지 브로치 뱃지 4종 세트","핀뱃지","12,500원","https://www.coupang.com/vp/products/9326543481?itemId=27647085635&vendorItemId=94609612239&q=%ED%95%80%EB%B1%83%EC%A7%80&searchId=d201159f3377275&sourceType=search&itemsCount=60&searchRank=30&rank=30"
"핀뱃지 32mm 37mm 44mm 50mm 56mm 58mm 75mm 뱃지재료 캔뱃지, 핀버튼_37mm, 1개","핀뱃지","90원","https://www.coupang.com/vp/products/8974638123?itemId=26269749055&vendorItemId=93247922270&q=%ED%95%80%EB%B1%83%EC%A7%80&searchId=d201159f3377275&sourceType=search&itemsCount=60&searchRank=31&rank=31"
"ROBLOX 로블록스 프리미엄 핀뱃지 9종 풀세트 로블록스 굿즈 선물용(대형 58mm 개별 포장), 18개, 혼합색상","핀뱃지","23,660원","https://www.coupang.com/vp/products/9492985534?itemId=28312930759&vendorItemId=95265556812&q=%ED%95%80%EB%B1%83%EC%A7%80&searchId=d201159f3377275&sourceType=search&itemsCount=60&searchRank=32&rank=32"
"빅스마일뱃지 20개 한세트 4.4cm 가방에 달기 가장 좋은 사이즈 행복뱃지","핀뱃지","7,500원","https://www.coupang.com/vp/products/7197134908?itemId=18183667059&vendorItemId=85332618261&q=%ED%95%80%EB%B1%83%EC%A7%80&searchId=d201159f3377275&sourceType=search&itemsCount=60&searchRank=33&rank=33"
"곰돌이 캐릭터 브로치 뱃지 핀 가방 고정 악세사리 단체 선물 대량","핀뱃지","600원","https://www.coupang.com/vp/products/8074452513?itemId=22741631362&vendorItemId=89776882345&q=%ED%95%80%EB%B1%83%EC%A7%80&searchId=d201159f3377275&sourceType=search&itemsCount=60&searchRank=34&rank=34"
"기분 감정 표현 뱃지 / 브로치 사회생활 커플 패션 배터리 구름 뺏지 핀뱃지 악세사리","핀뱃지","5,850원","https://www.coupang.com/vp/products/9034640506?itemId=26503470061&vendorItemId=93271782138&q=%ED%95%80%EB%B1%83%EC%A7%80&searchId=d201159f3377275&sourceType=search&itemsCount=60&searchRank=35&rank=35"
"테일스타 미니 진주 수선핀 브로치 허리둘레 조절핀, 3개, 화이트","핀뱃지","5,100원","https://www.coupang.com/vp/products/8264647336?itemId=23812543930&vendorItemId=95376256306&sourceType=srp_product_ads&clickEventId=1277f390-5e7d-11f1-abec-25527a0af506&korePlacement=15&koreSubPlacement=24&clickEventId=1277f390-5e7d-11f1-abec-25527a0af506&korePlacement=15&koreSubPlacement=24"
"도도이츠 뜨개꽃 가방브로치 뱃지 가방꾸미기 패션 브로치 뺏지 11종","핀뱃지","9,880원","https://www.coupang.com/vp/products/8349333851?itemId=24119671352&vendorItemId=92144956090&q=%ED%95%80%EB%B1%83%EC%A7%80&searchId=d201159f3377275&sourceType=search&itemsCount=60&searchRank=37&rank=37"
"호후 젤뱃 메탈 핀 뱃지 3종 세트","핀뱃지","8,900원","https://www.coupang.com/vp/products/9443059791?itemId=28087155517&vendorItemId=95043526949&q=%ED%95%80%EB%B1%83%EC%A7%80&searchId=d201159f3377275&sourceType=search&itemsCount=60&searchRank=38&rank=38"
"150종 뱃지 브로치 배지 모음","핀뱃지","5,900원","https://www.coupang.com/vp/products/6608638752?itemId=14975524382&vendorItemId=82198609981&q=%ED%95%80%EB%B1%83%EC%A7%80&searchId=d201159f3377275&sourceType=search&itemsCount=60&searchRank=39&rank=39"
